listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
164448,Double room in central Stockholm with Wi-Fi,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/1101568/7cff99be_original.jpg,6,784312,Li,"","",true,59.3139,18.0609,,,2,0.0,false,"TV,Wifi,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Washer,Dryer,Smoke alarm,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Outdoor playground,Hair dryer,Iron,Bathtub",false,2,Moderate,SEK,0,0,451,4.86,4.9,5.0,4.8,5.0,4.8,4.8,9095.0,90325.0,95.2,976.4,0.252,0.0,24.9,247.5,0.0,0.0,92,0,273,365,5046.0,48373.0,103.4,991.2,0.544,0.0,56.1,537.5,0.0,0.0,49,0,41,90
220851,One room in appartement,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/2090146/e01bdfcf_original.jpg,18,412283,Fredric,"","",false,59.3335,18.0369,,,1,0.0,false,"Wifi,Waterfront,Kitchen,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Hot tub,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Essentials,Hangers,Dedicated workspace,Sound system,Bathtub",false,3,Flexible,SEK,0,0,66,4.69,4.7,4.9,4.7,4.9,4.8,4.7,564.0,6165.0,47.5,487.5,0.036,0.045,1.5,16.9,1.9,21.2,13,74,352,365,0.0,0.0,49.3,472.7,0.0,0.0,0.0,0.0,0.0,0.0,0,74,90,90
238411,Cozy apartment in central Stockholm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2806060/7fc681f0_original.jpg,18,1250232,Mia,"","",false,59.3387,18.0513,2,1,2,1.0,false,"TV,Cable TV,Wifi,Kitchen,Room-darkening shades,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Shower gel,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Bathtub",false,1,Firm,SEK,30,0,110,4.79,4.7,4.8,4.7,5.0,4.8,4.6,4417.0,44466.0,123.6,1272.2,0.099,0.0,12.1,121.8,0.0,0.0,36,0,329,365,2843.0,27256.0,123.5,1184.2,0.256,0.0,31.6,302.8,0.0,0.0,23,0,67,90
242188,Single room in central Stockholm with Wi-Fi,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/2303157/be5dd75a_original.jpg,6,784312,Li,"","",true,59.3120,18.0608,,,1,0.0,false,"TV,Wifi,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Washer,Dryer,Smoke alarm,Patio or balcony,Essentials,Shampoo,Lock on bedroom door,Hangers,Outdoor playground,Hair dryer,Iron,Bathtub",false,2,Moderate,SEK,0,0,439,4.9,4.9,5.0,4.8,5.0,4.9,4.8,11575.0,114822.0,83.3,852.3,0.356,0.0,31.7,314.6,0.0,0.0,130,0,235,365,5128.0,49156.0,98.3,942.2,0.578,0.0,57.0,546.2,0.0,0.0,52,0,38,90
299154,Cosy apartment central at Sodermalm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/18859115/794899d7_original.jpg,25,1541953,Daniel,"","",true,59.3185,18.0704,4,,2,1.0,false,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Books and reading material,Hot water,Elevator,Bed linens,Extra pillows and blankets,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Stove,Wine glasses,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Freezer,Toaster,Bathtub",false,2,Strict,SEK,0,0,689,4.66,4.8,4.9,4.4,5.0,5.0,4.6,22627.0,223878.0,140.7,1441.2,0.427,0.7,62.0,613.4,101.5,1003.9,156,142,209,365,10214.0,97921.0,162.5,1558.0,0.7,0.0,113.5,1088.0,0.0,0.0,63,0,27,90
299863,Playful temple with genuine meetings for big&small,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-299863/original/c11a4d56-ac73-4521-9dca-2d6dc623b3b9.jpeg,17,1322033,Anna,"","",false,59.3032,17.9952,4,1,4,1.5,false,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Mini fridge,Trash compactor,Free street parking,Hammock,Cleaning products,Drying rack for clothing,Heating,Coffee,Wine glasses,Washer,Dryer,Essentials,Shampoo,Dedicated workspace,Freezer,Bathtub,Blender,Room-darkening shades,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",true,3,Firm,SEK,52,0,74,4.42,4.4,4.7,4.3,4.7,4.4,4.4,15978.0,162206.0,53.8,549.0,0.8,0.872,43.8,444.4,47.7,484.2,292,30,73,365,5820.0,55788.0,66.9,641.4,0.967,0.0,64.7,619.9,0.0,0.0,87,0,3,90
301680,one cosy double room for rent,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-301680/original/73d38a2c-55d1-4e94-8a1c-ed84f50b508c.jpg,36,1554143,Anitta,"","",false,59.2764,17.9917,,,1,0.0,false,"TV,Washer,Smoke alarm,Wifi,First aid kit,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Shampoo,Pets allowed,Hangers,Hair dryer,Iron,Gym,Breakfast,Indoor fireplace,Heating",false,1,Moderate,SEK,0,42,40,4.65,4.5,4.7,4.7,4.6,4.5,4.6,1911.0,19287.0,69.6,711.5,0.074,0.075,5.2,52.8,5.3,53.4,27,4,338,365,238.0,2282.0,80.8,774.5,0.033,0.0,2.6,25.4,0.0,0.0,3,0,87,90
302496,"Spacious, bright, unique apartment",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzAyNDk2/original/3318ab9c-3354-46c0-802b-3e0434eeb46c.jpeg,40,1557657,Seta,"","",false,59.3469,18.0606,4,3,4,1.5,false,"High chair,TV,Children’s books and toys,Wifi,Crib,Kitchen,Pack ’n play/Travel crib,Hot water kettle,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Coffee maker,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster,Bathtub",false,5,Moderate,SEK,166,0,101,4.97,4.9,5.0,4.8,5.0,5.0,4.9,60049.0,592238.0,383.2,3916.2,0.395,0.403,164.5,1622.6,168.2,1658.9,144,8,221,365,32572.0,312250.0,453.2,4344.2,0.8,0.0,361.9,3469.4,0.0,0.0,72,0,18,90
438129,Bunk bed close by Alvsjo Exhibition,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/15288097/cbc64576_original.jpg,8,914316,Ea,"","",true,59.2642,18.0228,,,1,0.0,false,"Stove,TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Kitchen,Essentials,Free parking on premises,Paid parking off premises,Lock on bedroom door,Hair dryer,Hot water,Iron,Dedicated workspace,Free street parking,Dishes and silverware,Heating,Cooking basics,Oven",false,1,Moderate,SEK,0,0,45,4.76,4.7,4.9,4.9,5.0,4.6,4.7,3542.0,35289.0,37.1,380.5,0.258,0.33,9.7,96.7,12.4,123.8,94,80,271,365,795.0,7622.0,43.9,420.5,0.2,0.269,8.8,84.7,11.9,113.8,18,23,72,90
478105,• ARTISTIC PENTHOUSE NEAR CITY CENTER,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-478105/original/ac2c88b3-a0e4-41b5-b5ca-3213825afb2b.jpeg,55,1756346,Christian,"","",false,59.3018,17.9919,3,2,3,2.0,false,"TV,Wifi,Lake access,Kitchen,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Gym,Conditioner,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Bathtub,High chair,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,Single level home,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Sun loungers,Toaster",false,4,Moderate,SEK,52,0,34,4.65,4.7,4.9,4.6,4.9,4.6,4.6,4945.0,49319.0,129.2,1324.1,0.107,0.173,13.5,135.1,22.0,219.2,39,140,326,365,2153.0,20637.0,144.6,1386.5,0.167,0.385,23.9,229.3,55.2,529.2,15,51,75,90
